John G. Richardson , PERSON , 2009_ocr_10.2307_40267998.txt.out
Everett Massacre , PERSON , 2009_ocr_10.2307_40267998.txt.out
1916 , DATE , 2009_ocr_10.2307_40267998.txt.out
Everett Massacre , ORGANIZATION , 2009_ocr_10.2307_40267998.txt.out
Everett , LOCATION , 2009_ocr_10.2307_40267998.txt.out
Washington , LOCATION , 2009_ocr_10.2307_40267998.txt.out
November , DATE , 2009_ocr_10.2307_40267998.txt.out
 , DATE , 2009_ocr_10.2307_40267998.txt.out
Industrial Workers of the World , ORGANIZATION , 2009_ocr_10.2307_40267998.txt.out
latter , DATE , 2009_ocr_10.2307_40267998.txt.out
of , DATE , 2009_ocr_10.2307_40267998.txt.out
nineteenth , DATE , 2009_ocr_10.2307_40267998.txt.out
Wobblies , ORGANIZATION , 2009_ocr_10.2307_40267998.txt.out
Far West , LOCATION , 2009_ocr_10.2307_40267998.txt.out
Sunday , DATE , 2009_ocr_10.2307_40267998.txt.out
November , DATE , 2009_ocr_10.2307_40267998.txt.out
 , DATE , 2009_ocr_10.2307_40267998.txt.out
Seattle , LOCATION , 2009_ocr_10.2307_40267998.txt.out
250 , NUMBER , 2009_ocr_10.2307_40267998.txt.out
Everett , LOCATION , 2009_ocr_10.2307_40267998.txt.out
Washington , LOCATION , 2009_ocr_10.2307_40267998.txt.out
Donald McRae , PERSON , 2009_ocr_10.2307_40267998.txt.out
200 , NUMBER , 2009_ocr_10.2307_40267998.txt.out
seven , NUMBER , 2009_ocr_10.2307_40267998.txt.out
Everett Massacre , ORGANIZATION , 2009_ocr_10.2307_40267998.txt.out
November , DATE , 2009_ocr_10.2307_40267998.txt.out
IWW , ORGANIZATION , 2009_ocr_10.2307_40267998.txt.out
six months , DURATION , 2009_ocr_10.2307_40267998.txt.out
May , DATE , 2009_ocr_10.2307_40267998.txt.out
33:2 , NUMBER , 2009_ocr_10.2307_40267998.txt.out
Summer , DATE , 2009_ocr_10.2307_40267998.txt.out
10.1215 , NUMBER , 2009_ocr_10.2307_40267998.txt.out
01455532-2008-019 © , NUMBER , 2009_ocr_10.2307_40267998.txt.out
